year,chemistry
1800,1.0486847600077454e-05
1801,1.3915032354816503e-05
1802,1.288635788891194e-05
1803,1.2183671539592719e-05
1804,1.1997262398771064e-05
1805,1.1783425605926823e-05
1806,1.187986314578536e-05
1807,1.1390275164200959e-05
1808,8.42876423234884e-06
1809,8.348479021995966e-06
1810,8.16223861274271e-06
1811,7.811924368590034e-06
1812,8.247500200500976e-06
1813,7.888662866305043e-06
1814,8.157264115230386e-06
1815,8.52403086274275e-06
1816,9.10264228894318e-06
1817,8.903002996670953e-06
1818,8.817929727099128e-06
1819,8.64226326159821e-06
1820,8.729381931971149e-06
1821,8.228190099300393e-06
1822,7.916941131367952e-06
1823,7.318737532711696e-06
1824,7.638057898670273e-06
1825,7.439215502407543e-06
1826,7.3020556905183705e-06
1827,8.193199200994578e-06
1828,9.234237765554099e-06
1829,9.551115234834081e-06
1830,9.466581116969661e-06
1831,9.563813141052638e-06
1832,9.821226419554868e-06
1833,1.0398747593041791e-05
1834,9.72198522016957e-06
1835,8.883725752996594e-06
1836,8.924984334563694e-06
1837,9.868568209217951e-06
1838,1.0045669272683102e-05
1839,1.0592842837045932e-05
1840,1.1158504268645889e-05
1841,1.155829935685558e-05
1842,1.1988109487707072e-05
1843,1.2452158557607618e-05
1844,1.2836224950011196e-05
1845,1.319237589671372e-05
1846,1.3329042125016192e-05
1847,1.3261323471981867e-05
1848,1.3796831711130966e-05
1849,1.4298027443666276e-05
1850,1.4384227824848494e-05
1851,1.4205522299042578e-05
1852,1.4917585904835765e-05
1853,1.4845373341034118e-05
1854,1.474587021935544e-05
1855,1.5703979085758745e-05
1856,1.6042226174509517e-05
1857,1.6172355117305415e-05
1858,1.5985509029243466e-05
1859,1.5662104747856836e-05
1860,1.568639933274036e-05
1861,1.559993825139827e-05
1862,1.4272763922105827e-05
1863,1.373460098160909e-05
1864,1.3975961045226931e-05
1865,1.4434343467785637e-05
1866,1.4345308467714597e-05
1867,1.526005925305591e-05
1868,1.5735325194197814e-05
1869,1.660403583108356e-05
1870,1.7347610050170002e-05
1871,1.8234005486712184e-05
1872,1.864455314911798e-05
1873,1.8965197487627196e-05
1874,1.8482222035994968e-05
1875,1.8525516566114675e-05
1876,1.8026637121693057e-05
1877,1.7477435189253553e-05
1878,1.637539373535089e-05
1879,1.577747028542425e-05
1880,1.5699894626257966e-05
1881,1.5991578737027468e-05
1882,1.5747957555894182e-05
1883,1.564990908978611e-05
1884,1.5600254755554488e-05
1885,1.5643384715856102e-05
1886,1.571198211942309e-05
1887,1.581738596152198e-05
1888,1.6119164635191347e-05
1889,1.6076692694306466e-05
1890,1.6337325161787574e-05
1891,1.6910250191618354e-05
1892,1.7187940508327824e-05
1893,1.7534362882543064e-05
1894,1.7313181696668573e-05
1895,1.6774339152496918e-05
1896,1.6950026438930115e-05
1897,1.686372843323625e-05
1898,1.651469083948801e-05
1899,1.6899184791847282e-05
1900,1.668727335462401e-05
1901,1.729449179167984e-05
1902,1.740948815560322e-05
1903,1.7829602614126217e-05
1904,1.8121272270426353e-05
1905,1.8465566638172148e-05
1906,1.854324965019519e-05
1907,1.889910107268276e-05
1908,1.9286619176130315e-05
1909,2.0074491552739862e-05
1910,2.048746340018884e-05
1911,2.0987760170295845e-05
1912,2.1373815854985878e-05
1913,2.1388324244396377e-05
1914,2.2615642909126367e-05
1915,2.264699622855915e-05
1916,2.2554561521051907e-05
1917,2.233458646320027e-05
1918,2.2555452501040107e-05
1919,2.2294168502412504e-05
1920,2.256678237699816e-05
1921,2.1864990060294073e-05
1922,2.1906423756133465e-05
1923,2.198194823677113e-05
1924,2.2720581796420447e-05
1925,2.323267806657116e-05
1926,2.3701429808755033e-05
1927,2.4104652433314705e-05
1928,2.4040561787127702e-05
1929,2.403177813903312e-05
1930,2.3911001449050673e-05
1931,2.3435921093550857e-05
1932,2.2366155430323227e-05
1933,2.2276929038460886e-05
1934,2.2427038710962472e-05
1935,2.283384393259829e-05
1936,2.3318992767989194e-05
1937,2.3884315737632278e-05
1938,2.4243869006568275e-05
1939,2.4896502371315622e-05
1940,2.509195863759877e-05
1941,2.4715397249305428e-05
1942,2.4702868066534783e-05
1943,2.436168693163511e-05
1944,2.413421226167754e-05
1945,2.3748730947253144e-05
1946,2.390695034039579e-05
1947,2.3923479456503367e-05
1948,2.3707108701793394e-05
1949,2.32094464048974e-05
1950,2.2966171619438163e-05
1951,2.2980772062705258e-05
1952,2.295207493878999e-05
1953,2.2541173897090107e-05
1954,2.284959452936164e-05
1955,2.3511902968818633e-05
1956,2.399280811005156e-05
1957,2.4168703881904158e-05
1958,2.402248238857802e-05
1959,2.4386245546078757e-05
1960,2.464492869031736e-05
1961,2.436672714013964e-05
1962,2.4272208934559914e-05
1963,2.404937350775072e-05
1964,2.4136509182426383e-05
1965,2.3825962711855808e-05
1966,2.3154822924555318e-05
1967,2.258737888740013e-05
1968,2.240718928549411e-05
1969,2.2266031290233252e-05
1970,2.1760626895326955e-05
1971,2.1708932150334347e-05
1972,2.2276368144145765e-05
1973,2.2771489093591818e-05
1974,2.2889061174932328e-05
1975,2.3159077305276048e-05
1976,2.2822147034925626e-05
1977,2.3580210868853362e-05
1978,2.3709297896143005e-05
1979,2.346764927096956e-05
1980,2.3381306001673302e-05
1981,2.3695639591941085e-05
1982,2.3763848600667965e-05
1983,2.408162455529756e-05
1984,2.402488021451583e-05
1985,2.3583672909158588e-05
1986,2.368710113387351e-05
1987,2.3918267450946068e-05
1988,2.3571665617997238e-05
1989,2.347950584586605e-05
1990,2.3132583111516525e-05
1991,2.249034136931576e-05
1992,2.249050512708501e-05
1993,2.191030628750923e-05
1994,2.126654021188707e-05
1995,2.0980968055742517e-05
1996,2.025293080773086e-05
1997,1.992940124344906e-05
1998,1.9716949416143897e-05
1999,1.9448089058674407e-05
2000,1.9423830614024545e-05
2001,1.9046611226615694e-05
2002,1.9034153964980763e-05
2003,1.90075146235813e-05
2004,1.8732334346793778e-05
