year,goya
1800,1.1084895890078883e-08
1801,1.0621504209495926e-08
1802,1.0296379600778966e-08
1803,1.4866985737731804e-08
1804,1.838996713640232e-08
1805,2.0355468675705065e-08
1806,3.912395030170046e-08
1807,4.480184959529002e-08
1808,4.67718988618669e-08
1809,4.884510167763827e-08
1810,4.576618246281734e-08
1811,4.19212209073245e-08
1812,3.8624216333208294e-08
1813,2.2176566995467184e-08
1814,1.8064893961674703e-08
1815,1.9034779213151458e-08
1816,2.3105413582413803e-08
1817,2.2613561436100682e-08
1818,5.630195890457149e-08
1819,5.998909762589782e-08
1820,5.5245449421497435e-08
1821,5.737494447797888e-08
1822,5.497543848725124e-08
1823,4.876503994261887e-08
1824,4.854686881066479e-08
1825,1.7338155228990056e-08
1826,1.851314828422395e-08
1827,1.9620437465204888e-08
1828,2.4129970275867307e-08
1829,2.2791670741183012e-08
1830,2.8982342589348572e-08
1831,2.7677776166206465e-08
1832,2.3501871591692847e-08
1833,2.020109644641975e-08
1834,2.0648595119457776e-08
1835,1.9614080930858383e-08
1836,3.0895114212979383e-08
1837,2.7576363478435236e-08
1838,3.0317024827094685e-08
1839,3.072706689088989e-08
1840,2.8862739617377796e-07
1841,2.9502827612683446e-07
1842,2.8848288833950774e-07
1843,2.798558179798302e-07
1844,2.8224869244982844e-07
1845,3.4751627007802354e-07
1846,3.474086893717754e-07
1847,9.049729886103008e-08
1848,8.4105356647411e-08
1849,8.859374903532773e-08
1850,1.2867407336461918e-07
1851,1.2599898172435277e-07
1852,7.095681169617357e-08
1853,7.306309300427114e-08
1854,7.151796719919088e-08
1855,7.018347798164776e-08
1856,9.12934890541704e-08
1857,5.374405127283361e-08
1858,5.8926402455940415e-08
1859,4.8252210227417436e-08
1860,4.925867345763534e-08
1861,6.099929894531897e-08
1862,6.020835614200288e-08
1863,3.554799413560009e-08
1864,4.0375732281359785e-08
1865,6.352020757002411e-08
1866,7.691270242915493e-08
1867,8.28673829873188e-08
1868,9.408664742543188e-08
1869,1.0089392952851637e-07
1870,1.0544618941502445e-07
1871,1.0260792036666443e-07
1872,8.649401028737459e-08
1873,8.801374472090982e-08
1874,8.934120096107786e-08
1875,8.376094254699698e-08
1876,1.1078803333460943e-07
1877,1.208849687334939e-07
1878,1.3986333470748592e-07
1879,1.388898454817473e-07
1880,1.2749513275281797e-07
1881,1.3462173834418882e-07
1882,1.307365382460394e-07
1883,1.0848427817971335e-07
1884,1.02248419842077e-07
1885,8.425677817352247e-08
1886,8.984632820269972e-08
1887,8.798904777800639e-08
1888,1.4564942900958347e-07
1889,1.435117238855556e-07
1890,1.4378717716478917e-07
1891,1.434971254995635e-07
1892,1.8057334649768109e-07
1893,1.9722878419337064e-07
1894,2.0257319177652278e-07
1895,1.55035479470251e-07
1896,1.5797079160646226e-07
1897,1.7881661540375402e-07
1898,2.0768554258905017e-07
1899,1.9652816877055048e-07
1900,1.9075877718702623e-07
1901,2.5369585448282397e-07
1902,2.783968749340917e-07
1903,3.0164917151433356e-07
1904,4.0106843512965895e-07
1905,4.0555754668833034e-07
1906,4.6453442974809486e-07
1907,5.737189535036181e-07
1908,5.852387018651888e-07
1909,5.818939429984888e-07
1910,5.794616654445203e-07
1911,7.659627008850733e-07
1912,7.724490223332784e-07
1913,7.792062356618398e-07
1914,6.723534344594511e-07
1915,6.206399475382009e-07
1916,6.116824469556573e-07
1917,6.26486558035528e-07
1918,3.6668824437979813e-07
1919,6.042386234932679e-07
1920,6.430569676910533e-07
1921,7.093412719189856e-07
1922,7.94170317484712e-07
1923,9.085376904535305e-07
1924,9.734505502393252e-07
1925,1.0050950356205971e-06
1926,8.517422242821609e-07
1927,8.539184782131925e-07
1928,8.562796294559709e-07
1929,8.239660546241875e-07
1930,7.305475305331909e-07
1931,6.849487040407252e-07
1932,6.583078523573046e-07
1933,6.635259425711939e-07
1934,6.363368976826576e-07
1935,7.306519705136643e-07
1936,7.25313608761015e-07
1937,7.861149274075123e-07
1938,8.239295585481849e-07
1939,8.317082050370216e-07
1940,8.240300405201342e-07
1941,8.207669935446559e-07
1942,7.160614516570669e-07
1943,1.171838646563117e-06
1944,1.2513750503119679e-06
1945,1.337902275474637e-06
1946,1.459814877393027e-06
1947,1.4905679115440051e-06
1948,1.736499847978682e-06
1949,1.7946239344114799e-06
1950,1.4308686139433545e-06
1951,1.3468117199266771e-06
1952,1.3752806050172848e-06
1953,1.3770058726285988e-06
1954,1.3561239043470761e-06
1955,1.1273385621838168e-06
1956,1.2278143270982866e-06
1957,1.1806132185210316e-06
1958,1.2114595624128962e-06
1959,1.1463892985056186e-06
1960,1.0679413412960161e-06
1961,1.086374605163698e-06
1962,1.0888250914537726e-06
1963,9.818082382968233e-07
1964,1.0035801583572836e-06
1965,1.0649404212597398e-06
1966,1.0846743204728782e-06
1967,1.113272170402294e-06
1968,1.078831142531378e-06
1969,1.1358338547326087e-06
1970,1.1378001475120009e-06
1971,1.114425102485431e-06
1972,1.0502370413968876e-06
1973,1.0045640095641367e-06
1974,1.0113768330123816e-06
1975,9.930482038582916e-07
1976,9.632165600047062e-07
1977,9.359385947213131e-07
1978,9.581481782903824e-07
1979,8.989265851371592e-07
1980,9.215557566261928e-07
1981,9.362269391172922e-07
1982,9.427384437860858e-07
1983,8.96654787561703e-07
1984,9.025862464095981e-07
1985,9.091516781634111e-07
1986,9.356809264219175e-07
1987,8.998436896881908e-07
1988,8.236209737396852e-07
1989,8.188856960141981e-07
1990,8.300139259073295e-07
1991,8.291114965697232e-07
1992,8.323380911168244e-07
1993,8.278083535793813e-07
1994,8.603368422439266e-07
1995,8.735118137069366e-07
1996,8.758496330736014e-07
1997,8.648589338022816e-07
1998,8.423564569045742e-07
1999,7.99341705144079e-07
2000,8.037507993766521e-07
2001,7.569606570128379e-07
2002,7.619838074586956e-07
2003,7.590964167469849e-07
2004,7.535124078028588e-07
