year,natural history
1800,1.2913897442956568e-05
1801,1.3087792996202553e-05
1802,1.2643641333909272e-05
1803,1.2331743101461664e-05
1804,1.2663061537767006e-05
1805,1.211502737216311e-05
1806,1.2963223215121748e-05
1807,1.182809379583562e-05
1808,1.1470149557015118e-05
1809,1.1340126604864054e-05
1810,1.1446830527006568e-05
1811,1.1145898296506726e-05
1812,1.1678281097715628e-05
1813,1.064036310895387e-05
1814,1.0897340665394495e-05
1815,1.1064793059948183e-05
1816,1.1350669377106573e-05
1817,1.0775208174607087e-05
1818,1.085804118921325e-05
1819,1.0429068447186702e-05
1820,1.0050953605400537e-05
1821,1.036718283537701e-05
1822,1.0176047663687118e-05
1823,9.67682831186169e-06
1824,9.813249402920324e-06
1825,9.391492141170537e-06
1826,9.430619916729808e-06
1827,9.511531669456222e-06
1828,9.825830219816519e-06
1829,1.0143639626798112e-05
1830,1.0721181178650698e-05
1831,1.2016457380882781e-05
1832,1.2912674620224607e-05
1833,1.3623661987237157e-05
1834,1.4177548481240723e-05
1835,1.39554374040277e-05
1836,1.3573633196983792e-05
1837,1.3525921793140179e-05
1838,1.2902686689488162e-05
1839,1.2349247182693748e-05
1840,1.2048072791109072e-05
1841,1.168896717120203e-05
1842,1.1417808369377065e-05
1843,1.1622622438827485e-05
1844,1.1693506590201454e-05
1845,1.1531541814641904e-05
1846,1.1725005424726271e-05
1847,1.1650951572659907e-05
1848,1.2134114113239645e-05
1849,1.2344243648344997e-05
1850,1.2223525054366746e-05
1851,1.2358969628272528e-05
1852,1.2348788514162021e-05
1853,1.2079944533687533e-05
1854,1.1931428413650533e-05
1855,1.192103187008797e-05
1856,1.2183772318914115e-05
1857,1.2315250082955182e-05
1858,1.231991938612152e-05
1859,1.2600930825255675e-05
1860,1.2865123966524347e-05
1861,1.2786842400406126e-05
1862,1.2266098614028514e-05
1863,1.1968755807905448e-05
1864,1.1736935116500392e-05
1865,1.1423621503224369e-05
1866,1.1025126188509862e-05
1867,1.0999683393971994e-05
1868,1.1037803501169818e-05
1869,1.133055039304054e-05
1870,1.1268979140563065e-05
1871,1.1444393793778674e-05
1872,1.1449321696943572e-05
1873,1.1436154883272462e-05
1874,1.1298092974446458e-05
1875,1.1403179599816277e-05
1876,1.1424479653092995e-05
1877,1.1510873143549814e-05
1878,1.1096838276460274e-05
1879,1.0875406070048096e-05
1880,1.0822483217915694e-05
1881,1.0655570900805092e-05
1882,1.0512332893191406e-05
1883,1.026565896466991e-05
1884,1.0183860186633149e-05
1885,1.042632609227212e-05
1886,1.0424645475991059e-05
1887,1.0245014464211573e-05
1888,1.0178612662059551e-05
1889,1.0010628302430698e-05
1890,9.914274921283908e-06
1891,9.723844760247046e-06
1892,9.655504213818792e-06
1893,9.763062266188172e-06
1894,9.841436371362177e-06
1895,9.712502500544167e-06
1896,9.466640383339251e-06
1897,9.255204410862914e-06
1898,9.071796883729024e-06
1899,8.680371182988112e-06
1900,8.343152634284121e-06
1901,8.28416772285274e-06
1902,8.239395546029624e-06
1903,8.198506074157715e-06
1904,7.959602456253378e-06
1905,7.69878412500345e-06
1906,7.68370114505907e-06
1907,7.696497989278278e-06
1908,7.371468333263108e-06
1909,7.163461015734032e-06
1910,7.088391868137478e-06
1911,7.0324164056501095e-06
1912,6.986899858166648e-06
1913,6.821829277977745e-06
1914,6.647917951495076e-06
1915,6.419288057811303e-06
1916,6.18801480913232e-06
1917,6.017836308761356e-06
1918,5.980332304034164e-06
1919,5.9963299067687454e-06
1920,6.092428244690902e-06
1921,6.052479901898421e-06
1922,6.174711945813474e-06
1923,6.235095411406226e-06
1924,6.419587351607399e-06
1925,6.58015969483878e-06
1926,6.7028663559247955e-06
1927,6.74606974980309e-06
1928,6.981921504437391e-06
1929,7.082866608649445e-06
1930,7.125957994600997e-06
1931,7.059934999022387e-06
1932,6.96784151748326e-06
1933,6.819364582863078e-06
1934,6.8222162253407855e-06
1935,6.586921787946461e-06
1936,6.615509695352882e-06
1937,6.641721804661366e-06
1938,6.809939782621248e-06
1939,6.726955535084146e-06
1940,6.589973276658968e-06
1941,6.434144229469245e-06
1942,6.28372176184452e-06
1943,6.070872804083853e-06
1944,6.165248644305978e-06
1945,6.0033104521802935e-06
1946,6.179998436550704e-06
1947,6.334630711535284e-06
1948,6.377574485278663e-06
1949,6.533901042311233e-06
1950,6.716046829272468e-06
1951,6.615517775238848e-06
1952,6.54516252345567e-06
1953,6.507742121186765e-06
1954,6.431329516942697e-06
1955,6.465664775134882e-06
1956,6.520145513531718e-06
1957,6.361027328491023e-06
1958,6.277000033654596e-06
1959,6.363618500212657e-06
1960,6.138596192377982e-06
1961,6.08903979123657e-06
1962,6.169746314859432e-06
1963,6.005758994628454e-06
1964,6.098761191302466e-06
1965,6.108599766970916e-06
1966,6.047788289720302e-06
1967,6.101340326430155e-06
1968,6.143682848046085e-06
1969,5.999577327640639e-06
1970,6.10515346112704e-06
1971,6.1541711196306485e-06
1972,6.29444252808753e-06
1973,6.38243737682842e-06
1974,6.520341112751079e-06
1975,6.61967280381402e-06
1976,6.639450774059697e-06
1977,6.675346109018068e-06
1978,6.576979411119867e-06
1979,6.469067416097525e-06
1980,6.454417123182209e-06
1981,6.337145239042132e-06
1982,6.284020107573594e-06
1983,6.3558911490093e-06
1984,6.3155151762219115e-06
1985,6.328880521623757e-06
1986,6.399156967112113e-06
1987,6.377855463313154e-06
1988,6.451200295235334e-06
1989,6.484770286720374e-06
1990,6.44845530116202e-06
1991,6.5539008957671285e-06
1992,6.644879644365379e-06
1993,6.787124429966493e-06
1994,6.870876990408956e-06
1995,6.977005035935235e-06
1996,7.0673492018613615e-06
1997,7.152620426609247e-06
1998,7.079291737202961e-06
1999,7.008626469533802e-06
2000,6.814594856661773e-06
2001,6.776567638715798e-06
2002,6.7040296407583355e-06
2003,6.622775909193024e-06
2004,6.507610182282519e-06
